PERSON_ID,JERSEY_NUMBER,TEAM_ABBREVIATION
76070,16,GSW
76071,null,DEF
200788,40,ORL
1134,9,MIA
76073,34,WAS
76074,34,DET
76078,20,PHX
1630555,17,WAS
202970,14,NOP
201965,19,SAS
1629028,5,LAL
101235,4,GSW
1628962,27,PHX
203569,52,BOS
202337,22,NOP
76079,00,CLE
76080,17,BOS
1628407,8,LAL
1630641,41,CHA
76081,10,NYK
2053,11,CHI
76082,5,CLE
1628963,35,WAS
1641735,10,BKN
76064,21-30,SAC
2306,45,ORL
201589,00,DEN
1753,11,PHX
203946,41,CHI
1858,3,TOR
2486,12,POR
76089,null,CHS
1627758,31,NYK
452,34,OKC
1627735,2,MEM
200764,32,NYK
76090,44,LAC
1630163,1,CHA
1628366,2,CLE
76091,42,WAS
76092,null,BOM
1628964,5,TOR
1631094,5,ORL
1630217,3,ORL
76093,20,SAS
2556,15,BOS
76094,51,NYK
76095,42,IND
1630625,5,DAL
1627760,5,ATL
76096,25,ATL
2571,19,PHX
76097,25,DAL
200826,5,DAL
200745,77,TOR
76098,null,INO
76099,6,ATL
787,34,PHI
2057,1,POR
76102,17,BOS
1631230,25,PHI
203084,40,SAS
76103,30,HOU
76083,20,HOU
76085,2,OKC
1847,41,UTA
76107,12,NYK
76106,33,GSW
76108,11,ATL
76109,10,OKC
76110,8-15,INO
76113,19,SAC
2857,11,HOU
76114,23,BOS
1629628,9,TOR
2853,30,MIA
344,null,BOS
699,17,OKC
1003,10,ATL
468,20,MIL
600013,24,GSW
76117,null,WAS
76118,20,GSW
203115,1,TOR
101188,13,CHI
76119,44,PHI
101138,30,BOS
1628238,null,PHX
76120,21,BKN
1629646,28,MEM
1766,9,IND
2370,14,DEN
76121,35,POR
1641734,21,PHI
101212,11,ATL
2471,33,MEM
1499,4,BOS
2203,31,MEM
1642419,77,TOR
174,10,ATL
200841,6,ATL
76104,27,LAC
2440,22,LAC
1630567,4,TOR
2437,35,CHI
201573,8,MIL
76127,22,LAL
76128,5,ATL
203145,9,SAC
1629647,26,UTA
76129," ",ATL
203078,0,LAC
76130,9,NYK
76131,null,INO
2602,24,MIA
1627736,5,DET
201563,8,MIA
76133,31,ATL
201958,3,DAL
1630699,0,PHI
76134,40,DEN
1133,15,CHA
76136,12,GSW
76137,null,DEF
76138,0,DET
1641736,4,ORL
76139,6,PRO
76140,12,SAC
76141," ",ATL
201158,18,SAS
2294,34,MIL
76142,46,NYK
1628395,7,CHI
1952,19,PHX
2559,3,MEM
76143,15,NYK
76144,8,ATL
1627761,95,MIL
76145,26,ATL
76146,5,CHI
201587,33,LAC
76125,14,CHI
76126,null,CLR
1736,25,CHI
1120,5,PHI
712,24,LAL
76151,52,IND
76148,25,CHA
76152,30,CLE
128,21,UTA
202728,34,GSW
76154,54,DET
1627791,42,DAL
76155," ",ATL
76156,18,NYK
1631262,14,MIN
76157,34,SAC
76158,6,SAS
1629541,9,NOP
202722,9,CHA
76159,1,CHI
696,6,IND
201976,21,MIL
1630180,41,NOP
1630189,2,HOU
204021,32,SAC
76160,24,PHI
76161,null,HUS
76162,10-15,PHI
1710,20,SAC
76163,12,PHX
2740,15,GSW
76164,18,DET
76165,32,SAC
76166,21,DET
76167,50,POR
203920,24,SAS
1628444,26,BOS
1886,9,IND
203968,null,UTA
104,00,LAC
202357,8,GSW
76172,33,DAL
1641710,0,ORL
76173,21,DET
1641778,12,CHA
76174,null,DET
204028,28,LAL
76175,24,OKC
76176,22,DAL
76180,30,LAL
76177,30,OKC
1806,8,BOS
76179,3,SAS
201971,45,SAS
2581,22,POR
202392,15,HOU
1628469,9,CHI
200807,8,DET
76182,15,NYK
76183,21,DET
76184,17,CHI
101154,0,WAS
302,10,ATL
202339,5,POR
1629833,21,POR
76186,null,INO
76187,35,HOU
76188,11,BAL
1628417,4,CLE
916,44,CHI
1548,15,BOS
203505,12,BOS
1629129,5,UTA
76189,22,CHI
76190,5,GSW
2800,15,LAL
76170,12,BKN
1641931,17,CHI
202687,18,SAS
177,14,CHA
101106,12,MIL
1564,41,LAC
1629626,11,PHX
76195,1,WAS
1628413,43,PHI
1629716,12,GSW
76196,null,BAL
1630195,9,UTA
1627762,21,UTA
76197,8,DET
76203,33,WAS
1641737,30,PHI
76198,30,HOU
1603,20,UTA
1629648,18,ORL
1121,10,PHX
1629067,17,TOR
76201,21,BOS
41,33,SAC
2588,15,SAS
1626164,1,PHX
511,5,GSW
202344,20,WAS
200767,2,BKN
76204,24,SAC
1916,52,OKC
1522,22,CHI
76206,20,SAC
2430,5,UTA
2414,22,UTA
76207,15,GSW
1953,11,OKC
76210,12,NYK
2547,1,MIA
1643052,31,BKN
1631205,27,DET
2586,4,ORL
203992,10,LAC
1628449,99,BOS
1630547,2,CHA
2257,44,POR
1631123,17,PHX
76214,13,DET
1898,6,ATL
1477,12,SAS
1763,40,DEN
1628968,10,IND
194,13,ORL
76217,31,BKN
1085,11,PHI
1629065,12,GSW
76219,17,NYK
671,24,ATL
76221,11,DET
76222,4,PHI
76223,33,UTA
1863,6,DEN
76224,16,WAT
76225,6,BKN
76226,22,ATL
202342,33,PHI
76227,33,WAS
76228,30,NYK
76229,22,HOU
202340,20,LAL
76233,24,NYK
76230,30,BOS
76231,22,IND
76232,null,CHS
2214,5,TOR
1628396,13,IND
1361,50,PHI
66,33,MIN
1765,32,HOU
76212,4,WAS
76213,33,BOS
1631103,8,WAS
76238,18,BOS
76239,52,IND
76240,22,PHI
76241,15,ATL
76242,10,PHX
76243,4,NYK
1631128,0,DEN
1629649,17,ORL
160,15,HOU
2452,9,BOS
76245,15-16,NYK
76246,14,GSW
76247,45,MIL
201147,13,MIN
2249,2,IND
76248,8,CLE
76249,10,POR
200758,11,UTA
2056,9,CHA
76250,7,DET
783,34,MIL
76252,2,MIL
76253,32,ATL
1641779,15,BOS
1628969,25,NYK
1628970,0,CHA
76254,8-16,BOS
1628578,37,DEN
76256,40,OKC
1629052,12,PHI
76257,23,SAS
76258,31,HOU
76259,12,DET
76260,40,SAS
76237,1,POR
1882,42,LAC
210,7,CLE
1627763,15,NYK
76263,7,MIL
76264,17,JET
201166,30,HOU
1629717,1,BKN
1628415,3,PHX
76265,43,DEN
202705,8,BKN
76266,35,LAC
418,2,HOU
2810,44,OKC
1626148,3,LAL
76284,null,DN
201628,8,SAC
1628971,11,DEN
2245,25,PHI
76270,null,BAL
244,7,BOS
200793,11,UTA
201974,4,CHA
2484,32,NOP
2081,52,MIA
76272,32,OKC
76273," ",LAL
1871,4,PHX
76275,null,DEF
203913,15,LAL
76276,32-52,ATL
2208,5,BOS
1631112,10,BOS
1641738,24,LAC
2198,54,WAS
76278,null,CLR
76279,4,WAS
203485,4,TOR
992,20,POR
1631167,null,NOP
201972,40,MIL
1629151,45,DAL
136,93,NOP
753,0,CHI
76282,24,UTA
76283,31,GSW
76286,35,DET
200769,26,LAL
76285,14,GSW
1628425,0,LAL
2357,10,LAL
76268,21,MIL
1630535,36,DAL
1629718,4,CHA
1630602,38,ATL
1628972,7,DET
76287,null,DN
76288,21,BKN
1628973,11,NYK
1594,9,POR
1627852,9,DAL
1629091,3,MIL
76289,7,NYK
76290,22,PHI
977,24,LAL
95,9,POR
1628418,3,CLE
76292,12,LAC
1629783,null,MEM
76294,24,LAL
1761,7,DAL
76296,25,MIL
76297,10,NYK
201978,10,HOU
76298,19,BAL
146,30,CHI
1641723,4,LAL
1479,52,UTA
1629650,10,DEN
76277,34,MIN
76302,17,DET
76303,14,NYK
2469,11,PHX
203504,3,DAL
76304,21,CHI
202692,18,MIA
2766,1,MEM
101207,12,CHA
76305,16,OKC
76306,null,SHE
76307,5,DEN
76308,53,SAC
76309,6,CHI
197,2,CHA
76311,15,ATL
675,5,BOS
76313,50,SAC
1629126,30,OKC
76314,34,NYK
416,9,MIA
76316,15,GSW
76317,10,PHX
76319,20,NYK
2406,31,WAS
202364,1,SAS
76320,45,NYK
2866,45,NYK
1630215,12,PHX
348,32,WAS
2446,8,NOP
202710,10,GSW
1631219,21,POR
202779,20,DET
1641824,14,CHI
201182,34,SAS
101115,17,LAL
672,50,HOU
76300,30,NYK
76301,null,BAL
76324,35,PHI
203998,5,HOU
1629719,18,POR
679,35,CHI
262,45,OKC
1631288,8,ORL
76326,13,PHI
201979,12,MEM
101181,81,TOR
154,45,HOU
76328,23,NYK
76329,27,ATL
203484,3,MEM
76331,3,ATL
76330,10,PHX
76332,7,LAL
76333,null,PRO
76334,4,SAC
76335,null,PRO
1641739,33,POR
76337,30,DAL
948,23,DEN
1630267,7,DAL
922,41,LAL
76338,9,MIN
203477,0,PHI
1629962,30,ORL
76339,14,PHI
203991,30,HOU
202382,45,LAL
2073,35,MEM
1630176,13,UTA
76340,10,WAS
76341,null,CHS
2367,4,POR
76376,40,PHX
76321,11,IND
76322,12,NYK
76323,null,PIT
76345,18,LAL
200760,25,PHI
76346,10-15,DET
156,55,ATL
76348,34,CLE
713,43,MIN
1757,21,CHI
76350,34,POR
76351,30,BOS
76352,30,BKN
1642267,7,WAS
201960,9,ATL
76353,2,GSW
2679,33,CHA
1131,40,MIL
1853,25,MIA
76355,12,IND
1642269,22,SAC
76357,12,DET
76358,32,DEN
76359,null,DN
1628975,5,CHI
2466,5,NOP
76360,35,NYK
76361,13,LAL
1713,15,TOR
1628976,34,ORL
203487,11,ORL
1630618,3,TOR
76362,24,NYK
76363,52,LAL
1627936,9,OKC
76364,45,DET
208,28,MIL
1642264,5,SAS
76343,35,OKC
1642382,15,OKC
76344,15,LAL
1509,26,HOU
76368,45,UTA
1626161,00,PHI
1628505,3,ORL
190,4,SAC
1628463,34,ATL
76370,40,NYK
1629958,null,IND
1630608,20,DET
76,23,PHX
1911,20,LAL
76373,15,PHI
2763,0,LAC
201596,6,MIA
76374,24,PHX
76375,13,GSW
1630577,30,SAS
1630551,9,WAS
76378,41,OKC
1631113,1,PHI
2199,6,NYK
201163,21,DEN
76379,12,BOS
76380,null,SHE
364,3,PHX
76382,25,NYK
76383,44,LAC
1629147,31,CHA
384,40,WAS
1629597,45,NOP
76385,10,PHI
76386,15,WAS
203805,null,CLE
76387,33,HOU
432,24,MEM
76365,42,MIL
767,33,WAS
76367,43,SAC
76391,11,PHI
1642279,22,TOR
76392,9,CLE
1627737,35,DAL
76393,9,NYK
76394,18,SAC
76395,31,ATL
1642353,12,LAC
57,13,SAC
1631108,00,DAL
202091,25,PHX
1626176,25,IND
203902,6,OKC
1630528,8,MIA
1631321,91,POR
76397,11,PHI
76398,40,BOS
201947,55,ORL
1629109,12,NOP
203546,2,GSW
1641740,22,MIN
1721,13,DEN
1629634,15,MEM
1626262,63,BOS
203903,00,NYK
1628492,8,DAL
201964,18,POR
1127,51,BOS
1629651,33,BKN
2049,12,GSW
76402,35,CLE
2043,24,DET
76403,40,OKC
1629598,3,HOU
76404,24,NYK
719,12,POR
164,null,NYK
1629185,2,BKN
76408,3,NYK
76409,33,BOS
1629599,17,MIL
76410,33,MIN
76411,11,NYK
715,51,WAS
202708,30,MIA
76412,51,PHI
934,44,BKN
76413,12,UTA
76414,11,SAC
76415,45,LAC
1642268,8,UTA
2044,40,ATL
76418,12,WAS
76421,20,PHI
1530,32,LAC
2260,20,UTA
2215,98,BKN
76419,22,CHI
1628381,20,LAC
200776,25,NYK
202395,11,CHA
1628380,12,CHI
1627858,8,DAL
201954,2,LAL
2555,4,OKC
76422,18,NYK
1629045,50,MIL
2173,3,HOU
306,5,WAS
1628435,null,POR
76425,34,IND
76426,22,BKN
76427,52,WAS
76428,5,BOS
76406,14,GSW
1569,33,LAC
1641730,21,BKN
76431,7,GSW
76432,11,BOS
101215,10,HOU
76433,38,DEN
76434,5,NYK
76438,null,SHE
2567,43,LAL
201161,14,MIA
76435,1,BKN
76437,30-52,BOS
2241,1,POR
1626188,28,SAC
1629076,25,CHI
1628429,4,NOP
76439,14,SAC
76440,10,CLE
1641645,12,WAS
204022,45,UTA
76442,6,BOS
1030,10,LAL
76443,53,LAC
76444,21,LAL
1630536,13,WAS
76441,42,DEN
76446,30,SAS
203142,22,IND
76447,45,NYK
76448,21,PHI
895,23,ATL
76451,null,CLR
76452,4,PHI
1627822,21,DEN
76453,42,CHI
76454,21,PHI
1627856,10,SAS
203955,8,UTA
76429,7,PHI
55,40,MIL
1626192,21,CHA
1641741,14,PHI
76458,31,LAL
76459,5,PHI
1432,40,PHX
202408,50,UTA
202326,4,DEN
600003,14,BOS
76462,18,BOS
76463,32,WAS
76464,25,WAS
76465,41,GSW
203459,33,POR
1628470,12,BOS
1544,4,ATL
76466,15,LAL
1642384,27,HOU
2037,1,LAC
201621,5,NYK
202348,27,WAS
1628249,55,BKN
76468,24,ATL
2343,11,PHX
76471,14,ATL
76472,12,PHX
201159,8,WAS
76473,7,ATL
76474,41,MIL
76475,12,SAC
1506,44,IND
76476,38,LAC
76477,41,OKC
76478,40,GSW
76479,4,GSW
180,22,UTA
76481,31,BKN
1526,4,OKC
76457,41,GSW
1641731,0,WAS
1629600,null,POR
76483,50,MIL
187,35,MIL
1907,5,GSW
76487,32,PHI
201967,33,NOP
76485,19,MIL
203099,9,CLE
1061,51,BKN
76488,44,DAL
76489,null,PRO
940,35,DET
223,15,DET
76492,15,SAC
2201,34,CHI
201191,20,LAC
688,12,DET
203552,31,GSW
201939,30,GSW
687,8,DEN
76505,14,SAC
1642359,4,NYK
76496,16,GSW
76497,20,CHI
2223,24,PHI
76498,12,GSW
956,25,GSW
76499,null,SAS
76500,10,MIL
1498,22,SAS
1630700,5,ATL
2845,15,SAC
1380,24,SAS
2605,6,DAL
76502,34,BKN
203109,99,SAC
1630622,17,ORL
1629633,23,ORL
76507,null,DN
212,33,BKN
