clip_id,player_id
1,1630573
2,1629008
3,1628401
4,1641730
5,1631248
6,1629651
7,1628401
8,1629008
9,1631248
10,202696
11,1642263
13,1641708
14,1630558
15,1630558
16,203952
17,1629639
18,1631171
19,1630696
20,1642276
21,1630578
22,1631157
23,1626167
24,1629645
25,1631157
26,1628973
27,1626171
28,1626157
29,1630579
30,1626171
31,1630560
32,1628978
33,1631097
34,1630183
35,201572
36,1628978
37,1631097
38,1630162
39,1630183
40,1642920
41,1630245
42,1628392
43,1631096
44,1629661
45,1631128
46,1627750
47,203501
48,1628983
49,1628983
50,1629652
51,1628971
52,1626220
53,2544
54,1631109
55,1642346
56,1630559
57,2544
58,1629029
59,1642345
60,1628960
61,1628960
62,1630590
63,1630314
64,1630590
65,1642358
66,1626140
67,1642383
69,1641765
70,1642285
71,1641707
